epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.76432,0.71514,3.38205,0.97033,0.04947,0.85294,0.05374,0.04797,0.51233,3.25389,0.86766,0,0,0
2,7.08927,0.70295,3.27186,1.00365,0.05258,0.92689,0.05771,0.05103,0.51396,3.2543,0.86815,1.6505e-05,1.6505e-05,1.6505e-05
3,7.41751,0.70354,3.30279,0.98346,0.05269,0.92689,0.05784,0.05117,0.5157,3.25372,0.86944,3.26799e-05,3.26799e-05,3.26799e-05
4,7.84884,0.73028,3.33547,0.9708,0.05406,0.94118,0.06088,0.05209,0.45275,3.25213,0.85884,4.85247e-05,4.85247e-05,4.85247e-05
5,8.26394,0.60249,3.1861,0.94513,0.05428,0.94118,0.05995,0.05259,0.44993,3.24921,0.85781,6.40395e-05,6.40395e-05,6.40395e-05
6,8.69022,0.55325,3.10944,0.93431,0.0505,0.83866,0.07835,0.05195,0.48196,3.24397,0.86057,7.92242e-05,7.92242e-05,7.92242e-05
7,9.07536,0.66241,2.95783,0.95247,0.05414,0.91176,0.08902,0.07159,0.51126,3.22623,0.86357,9.40788e-05,9.40788e-05,9.40788e-05
8,9.50695,0.60307,2.90003,0.8924,0.05054,0.82353,0.17685,0.13149,0.51018,3.18952,0.85161,0.000108603,0.000108603,0.000108603
9,9.9243,0.5769,2.86319,0.8714,0.05277,0.88235,0.26844,0.21676,0.50047,3.13416,0.8403,0.000122798,0.000122798,0.000122798
10,10.3551,0.54328,2.73213,0.86149,0.05386,0.91176,0.3633,0.30394,0.50792,3.05717,0.82473,0.000136662,0.000136662,0.000136662
11,10.7827,0.56192,2.71254,0.84727,0.05599,0.97059,0.42841,0.34997,0.53322,2.99358,0.8133,0.000150197,0.000150197,0.000150197
12,11.2009,0.54964,2.51698,0.85982,0.0561,0.97059,0.43289,0.35461,0.53002,2.98424,0.81057,0.000163401,0.000163401,0.000163401
13,11.6495,0.54128,2.68241,0.85005,0.0571,1,0.49155,0.41786,0.54608,2.9436,0.79989,0.000176275,0.000176275,0.000176275
14,12.0789,0.55391,2.40815,0.84968,0.05697,1,0.49627,0.42731,0.5486,2.91735,0.78722,0.000188819,0.000188819,0.000188819
15,12.4961,0.54787,2.32875,0.85064,0.05652,1,0.50955,0.44165,0.54424,2.87593,0.78192,0.000201034,0.000201034,0.000201034
16,12.9196,0.57842,2.20921,0.88048,0.05654,1,0.51212,0.45099,0.53098,2.85634,0.7808,0.000212918,0.000212918,0.000212918
17,13.3396,0.54993,2.11107,0.86239,0.05634,1,0.51607,0.45094,0.53806,2.8457,0.7852,0.000224472,0.000224472,0.000224472
18,13.711,0.57592,2.03004,0.86378,0.05634,1,0.51607,0.45094,0.53806,2.8457,0.7852,0.000235695,0.000235695,0.000235695
19,14.1211,0.56532,1.96456,0.8617,0.05664,1,0.51846,0.44382,0.55528,2.85395,0.79454,0.000246589,0.000246589,0.000246589
20,14.4945,0.54304,1.85479,0.85442,0.05664,1,0.51846,0.44382,0.55528,2.85395,0.79454,0.000257153,0.000257153,0.000257153
21,14.8935,0.55876,1.9813,0.84949,0.05707,1,0.50637,0.4277,0.59521,2.84778,0.80019,0.000267387,0.000267387,0.000267387
