epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86913,0.68926,3.29756,0.99177,0.03991,0.91667,0.04874,0.04043,0.53446,3.24385,0.85444,1.667e-05,1.667e-05,1.667e-05
2,3.67661,0.69986,3.33162,0.99512,0.04295,0.95833,0.05148,0.04432,0.47388,3.24084,0.83804,4.95149e-05,4.95149e-05,4.95149e-05
3,4.32798,0.57344,3.12098,0.93522,0.04175,0.74479,0.06456,0.0468,0.482,3.22166,0.83207,8.16997e-05,8.16997e-05,8.16997e-05
4,4.86523,0.5725,2.94633,0.88571,0.04149,0.73438,0.22211,0.16625,0.50581,3.09858,0.81636,0.000113224,0.000113224,0.000113224
5,5.41167,0.57706,2.84957,0.8744,0.0431,0.79167,0.38558,0.32081,0.51093,2.8616,0.8009,0.000144089,0.000144089,0.000144089
6,5.95186,0.5969,2.665,0.86804,0.04316,0.875,0.42669,0.35151,0.56602,2.7923,0.79998,0.000174293,0.000174293,0.000174293
7,6.49248,0.58043,2.44424,0.86275,0.0437,1,0.4585,0.37815,0.57076,2.74688,0.79553,0.000203837,0.000203837,0.000203837
8,7.02213,0.59993,2.22453,0.87422,0.04288,1,0.48227,0.40963,0.5524,2.69284,0.79352,0.000232722,0.000232722,0.000232722
9,8.02658,0.60976,2.0547,0.88177,0.04331,1,0.4828,0.41341,0.5448,2.6924,0.79268,0.000260946,0.000260946,0.000260946
10,8.52876,0.56204,1.93677,0.86363,0.04311,1,0.49164,0.41105,0.57632,2.68135,0.79766,0.000288509,0.000288509,0.000288509
11,9.02671,0.59135,1.94259,0.87394,0.04313,1,0.49774,0.40501,0.60996,2.66654,0.80103,0.000315413,0.000315413,0.000315413
12,9.50939,0.57652,1.84557,0.86508,0.0431,0.95833,0.49721,0.39522,0.6322,2.6403,0.80269,0.000341657,0.000341657,0.000341657
