epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.84952,0.71227,2.36393,1.04408,0.70276,0.25714,0.48383,0.39495,0.54224,2.11477,0.93528,0,0,0
2,6.22415,0.76332,2.45698,1.1278,0.33212,0.64706,0.47046,0.38281,0.54452,2.13306,0.93727,1.6505e-05,1.6505e-05,1.6505e-05
3,6.63151,0.72849,2.47818,1.09396,0.33212,0.64706,0.46233,0.37632,0.54556,2.15265,0.93649,3.26799e-05,3.26799e-05,3.26799e-05
4,7.03489,0.74648,2.4405,1.11929,0.33212,0.64706,0.45756,0.37282,0.54951,2.16782,0.93811,4.85247e-05,4.85247e-05,4.85247e-05
5,7.39945,0.74848,2.52491,1.13851,0.33212,0.64706,0.44729,0.3623,0.54962,2.1901,0.93925,6.40395e-05,6.40395e-05,6.40395e-05
6,7.77999,0.77302,2.52194,1.14066,0.33212,0.64706,0.43144,0.35222,0.55525,2.20539,0.9436,7.92242e-05,7.92242e-05,7.92242e-05
7,8.19865,0.82685,2.65283,1.18712,0.8103,0.45714,0.55906,0.46975,0.52293,1.89519,0.95492,9.40788e-05,9.40788e-05,9.40788e-05
8,8.92325,0.62675,1.3647,1.00045,0.82624,0.48571,0.43713,0.38156,0.49943,2.5323,0.9278,0.000108603,0.000108603,0.000108603
9,9.50476,0.55214,0.99008,0.93379,0.32927,0.5,0.32854,0.28718,0.49866,2.97055,0.89875,0.000122798,0.000122798,0.000122798
10,10.1357,0.5358,0.9117,0.91364,0.8297,0.5,0.63735,0.55579,0.47918,2.56755,0.88057,0.000136662,0.000136662,0.000136662
11,10.8436,0.51679,0.78117,0.89538,0.82982,0.5,0.69156,0.59414,0.48744,2.41263,0.88954,0.000150197,0.000150197,0.000150197
12,11.5598,0.53299,0.77484,0.91094,0.68127,0.61685,0.83017,0.70044,0.49373,2.52664,0.89878,0.000163401,0.000163401,0.000163401
13,12.4175,0.53255,0.65531,0.88565,0.75845,0.75331,0.81379,0.69418,0.48249,2.76033,0.90347,0.000176275,0.000176275,0.000176275
14,13.0017,0.51831,0.5852,0.89129,0.73173,0.75451,0.7922,0.66362,0.53202,2.48313,0.91753,0.000188819,0.000188819,0.000188819
15,13.6073,0.48734,0.56049,0.88376,0.73624,0.57914,0.74655,0.62774,0.56728,2.0891,0.9354,0.000201034,0.000201034,0.000201034
16,14.1908,0.56955,0.77314,0.9503,0.79588,0.61271,0.9075,0.77643,0.51449,1.56517,0.90506,0.000212918,0.000212918,0.000212918
17,14.9084,0.51647,0.65751,0.89947,0.81495,0.85576,0.96715,0.83837,0.50505,1.37953,0.88709,0.000224472,0.000224472,0.000224472
