epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1655,1.32698,3.4953,1.69837,0.00867,0.36111,0.02159,0.00965,0.70321,3.55846,1.16845,6e-05,6e-05,6e-05
2,3.55914,1.27405,3.00823,1.6619,0.57224,0.75,0.72732,0.53002,0.95426,4.62291,1.24848,0.000138614,0.000138614,0.000138614
3,6.00758,1.00337,1.14312,1.23677,0.67781,0.75,0.78164,0.58308,0.86518,2.51759,1.17337,0.000215644,0.000215644,0.000215644
4,9.22177,1.05489,1.00387,1.24237,0.65519,0.75654,0.7746,0.54224,0.95851,2.97485,1.28183,0.00029109,0.00029109,0.00029109
5,10.9515,1.00504,0.96193,1.25621,0.66911,0.57407,0.67984,0.48512,1.02148,2.9236,1.35799,0.000364952,0.000364952,0.000364952
6,12.692,0.96982,0.85331,1.24509,0.90566,0.44444,0.65983,0.46213,1.05124,5.18744,1.45707,0.00043723,0.00043723,0.00043723
7,14.4201,0.87511,0.8101,1.15785,0.75039,0.66667,0.76343,0.51444,1.08369,2.68582,1.55027,0.000507924,0.000507924,0.000507924
8,16.1459,0.92736,0.79632,1.1959,0.72656,0.68519,0.72984,0.43507,1.28183,3.37639,1.9623,0.000577034,0.000577034,0.000577034
9,17.8777,0.91702,0.73158,1.23791,0.72562,0.73148,0.7834,0.46832,1.27881,3.24422,1.87582,0.00064456,0.00064456,0.00064456
10,19.6158,1.0267,0.82404,1.25935,0.88462,0.42593,0.58793,0.35267,1.41469,6.59556,2.23765,0.000710502,0.000710502,0.000710502
11,21.3406,0.93076,0.79395,1.25277,0.46147,0.34913,0.37988,0.22462,1.82916,3.37452,2.74043,0.00077486,0.00077486,0.00077486
12,23.2194,0.95545,0.78503,1.20205,0.00855,0.33333,0.00813,0.00234,3.288,4.05637,5.26839,0.000837634,0.000837634,0.000837634
13,24.9541,0.95059,0.74691,1.21055,0.00412,0.15741,0.00239,0.00067,3.33912,inf,16.0318,0.000898824,0.000898824,0.000898824
14,26.6635,0.90935,0.72185,1.19005,0.00111,0.0463,0.00058,0.00024,3.56004,inf,23.024,0.00095843,0.00095843,0.00095843
15,28.3935,0.88855,0.74215,1.18499,0.05333,0.26852,0.02394,0.00755,2.82717,13.071,8.07358,0.00101645,0.00101645,0.00101645
16,30.0943,0.89444,0.72106,1.16474,0.13588,0.40741,0.07489,0.03594,2.14012,6.9459,3.91676,0.00107289,0.00107289,0.00107289
17,31.7999,0.86664,0.6904,1.17896,0.28134,0.25376,0.11959,0.06393,2.41711,3.6635,3.77082,0.00112774,0.00112774,0.00112774
18,33.5297,0.86546,0.679,1.13599,0.36994,0.38889,0.23164,0.1308,1.94306,5.11868,2.74485,0.00118101,0.00118101,0.00118101
19,35.2278,0.91384,0.77055,1.2166,0.09733,0.18519,0.02843,0.01418,2.71818,8.60826,4.96353,0.0012327,0.0012327,0.0012327
20,37.077,0.8892,0.70324,1.19179,0.22786,0.14815,0.06444,0.03058,3.0631,5.54924,4.28553,0.0012828,0.0012828,0.0012828
21,38.8108,0.84782,0.63882,1.12481,0.209,0.2037,0.10961,0.06495,2.91514,9.65851,3.29894,0.00133132,0.00133132,0.00133132
22,40.5127,0.87137,0.66247,1.17254,0.3807,0.27778,0.28473,0.16105,2.25416,4.91691,2.58207,0.00137825,0.00137825,0.00137825
23,42.2116,0.9127,0.677,1.16873,0.04929,0.27778,0.02574,0.01276,2.32681,14.1965,2.78594,0.0014236,0.0014236,0.0014236
24,43.9113,0.97584,0.7293,1.24278,0.06584,0.37963,0.03946,0.01815,2.16906,20.677,2.5579,0.00146737,0.00146737,0.00146737
25,45.6179,0.83245,0.68745,1.15051,0.0692,0.24074,0.03135,0.01717,2.44263,11.9041,2.82233,0.00150955,0.00150955,0.00150955
26,47.3203,0.8979,0.69571,1.1811,0.33601,0.27778,0.17823,0.10415,2.02503,5.62476,2.40646,0.001505,0.001505,0.001505
27,49.1753,0.89211,0.68231,1.20647,0.39302,0.40741,0.38499,0.24646,1.70172,5.37374,2.01518,0.0014852,0.0014852,0.0014852
28,50.8882,0.79707,0.68876,1.12938,0.5244,0.58333,0.60054,0.35438,1.269,4.39022,1.68727,0.0014654,0.0014654,0.0014654
29,52.5878,0.8816,0.68674,1.1585,0.52827,0.72222,0.62718,0.39262,1.19768,5.73342,1.67405,0.0014456,0.0014456,0.0014456
30,54.2916,0.7745,0.6318,1.11351,0.58911,0.73148,0.65998,0.45229,1.19815,4.96979,1.74047,0.0014258,0.0014258,0.0014258
31,55.997,0.81999,0.65383,1.14719,0.72755,0.66761,0.73781,0.52082,1.20704,3.06091,1.73263,0.001406,0.001406,0.001406
32,57.6971,0.76596,0.61465,1.08782,0.69556,0.57407,0.66034,0.47567,1.15808,3.17286,1.57267,0.0013862,0.0013862,0.0013862
33,59.5572,0.80402,0.62823,1.14863,0.76623,0.52778,0.62455,0.44797,1.22728,3.31947,1.6873,0.0013664,0.0013664,0.0013664
