epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6291,0.63634,3.24346,0.947,0.04949,0.85294,0.0549,0.0482,0.51043,3.25294,0.86751,0,0,0
2,10.9071,0.63141,3.18594,0.9825,0.05233,0.91176,0.05647,0.04876,0.51085,3.25273,0.86793,1.50197e-05,1.50197e-05,1.50197e-05
3,11.2232,0.62934,3.21557,0.96348,0.0538,0.94118,0.05851,0.05038,0.51055,3.25337,0.86827,2.67387e-05,2.67387e-05,2.67387e-05
4,11.595,0.63277,3.22898,0.94463,0.05398,0.94118,0.06083,0.05061,0.46853,3.25207,0.86045,3.5157e-05,3.5157e-05,3.5157e-05
5,12.0029,0.57297,3.14677,0.91153,0.05331,0.91176,0.06036,0.04839,0.44973,3.2479,0.8577,4.02747e-05,4.02747e-05,4.02747e-05
6,12.3921,0.56164,3.02449,0.91353,0.05119,0.85294,0.06776,0.04823,0.46108,3.2366,0.85904,4.20917e-05,4.20917e-05,4.20917e-05
7,12.7726,0.50836,2.95799,0.86329,0.03948,0.60504,0.10809,0.08235,0.47697,3.21054,0.84947,4.06081e-05,4.06081e-05,4.06081e-05
8,13.1991,0.50866,2.86596,0.85918,0.03839,0.56134,0.184,0.1249,0.5034,3.16577,0.83496,3.58238e-05,3.58238e-05,3.58238e-05
9,13.6059,0.49894,2.87255,0.85622,0.03806,0.53109,0.24986,0.19058,0.50322,3.11338,0.8234,2.77389e-05,2.77389e-05,2.77389e-05
10,14.0326,0.53309,2.72959,0.84213,0.04035,0.57479,0.25943,0.20691,0.49553,3.09226,0.81706,1.63533e-05,1.63533e-05,1.63533e-05
